number, player_name, position, mug_url, year
67,Jerald Foster,OL,https://f5s002media.blob.core.windows.net/photos/0026461-dzsy-270x270.jpg,Junior
68,Nick Gates,OL,https://f5s002media.blob.core.windows.net/photos/0026458-oxgf-270x270.jpg,Junior
70,Matt Sichterman,OL,https://f5s002media.blob.core.windows.net/photos/0030162-ssff-270x270.jpg,Freshman
71,Matt Farniok,OL,https://f5s002media.blob.core.windows.net/photos/0026464-jajk-270x270.jpg,Freshman (RS)
73,Broc Bando,OL,https://f5s002media.blob.core.windows.net/photos/0030175-eaqm-270x270.jpg,Freshman
74,Jalin Barnett,OL,https://f5s002media.blob.core.windows.net/photos/0026492-ztbf-270x270.jpg,Sophomore
75,Fyn Anderson,DL,https://f5s002media.blob.core.windows.net/photos/0026497-ozrq-270x270.jpg,Sophomore
75,Trent Hixson,OL,https://f5s002media.blob.core.windows.net/photos/0030152-zdlc-270x270.jpg,Freshman
76,Brenden Jaimes,OL,https://f5s002media.blob.core.windows.net/photos/0030153-swnx-270x270.jpg,Freshman
76,Dylan Owen,DL,https://f5s002media.blob.core.windows.net/photos/0026539-oifo-270x270.jpg,Junior
77,David Knevel,OL,https://f5s002media.blob.core.windows.net/photos/0026561-wnbs-270x270.jpg,Senior
79,Michael Decker,OL,https://f5s002media.blob.core.windows.net/photos/0026471-zvmm-270x270.jpg,Sophomore
80,Brett Classen,WR,https://f5s002media.blob.core.windows.net/photos/0026480-bgql-270x270.jpg,Senior
81,Gabe Rahn,WR,https://f5s002media.blob.core.windows.net/photos/0026534-rhgw-270x270.jpg,Senior
82,Kurt Rafdal,TE,https://f5s002media.blob.core.windows.net/photos/0030160-eybb-270x270.jpg,Freshman
83,David Engelhaupt,TE,https://f5s002media.blob.core.windows.net/photos/0026467-efms-270x270.jpg,Freshman (RS)
83,Bryan Reimers,WR,https://f5s002media.blob.core.windows.net/photos/0026529-vnef-270x270.jpg,Junior
85,Matt Snyder,TE,https://f5s002media.blob.core.windows.net/photos/0026524-kfnu-270x270.jpg,Sophomore
86,Jack Stoll,TE,https://f5s002media.blob.core.windows.net/photos/0026521-mfyn-270x270.jpg,Freshman (RS)
87,Conor Young,WR,https://f5s002media.blob.core.windows.net/photos/0026504-bchv-270x270.jpg,Sophomore (RS)
88,Tyler Hoppes,TE,https://f5s002media.blob.core.windows.net/photos/0026446-fepb-270x270.jpg,Senior
89,Connor Ketter,TE,https://f5s002media.blob.core.windows.net/photos/0026564-xbnp-270x270.jpg,Senior
90,Ben Lingenfelter,DL,https://f5s002media.blob.core.windows.net/photos/0030155-vgjo-270x270.jpg,Freshman
90,Jackson Walker,P,https://f5s002media.blob.core.windows.net/photos/0030177-adyl-270x270.jpg,Junior
91,Freedom Akinmoladun,DE,https://f5s002media.blob.core.windows.net/photos/0026501-nays-270x270.jpg,Junior
92,Chase Urbach,LS,https://f5s002media.blob.core.windows.net/photos/0026515-nipl-270x270.jpg,Sophomore
93,Damion Daniels,DT,https://f5s002media.blob.core.windows.net/photos/0030150-ntkq-270x270.jpg,Freshman
94,Khalil Davis,DT,https://f5s002media.blob.core.windows.net/photos/0026472-fihc-270x270.jpg,Sophomore
95,Kramer Rath,PK,https://f5s.blob.core.windows.net/web/themes/images/mugshot-empty.png,Senior
96,Carlos Davis,DT,https://f5s002media.blob.core.windows.net/photos/0026473-kcbj-270x270.jpg,Sophomore
97,Deontre Thomas,DT,https://f5s002media.blob.core.windows.net/photos/0030164-cdiw-270x270.jpg,Freshman
98,Isaac Armstrong,P,https://f5s002media.blob.core.windows.net/photos/0026496-fxqj-270x270.jpg,Sophomore
99,Peyton Newell,DT,https://f5s002media.blob.core.windows.net/photos/0026542-mlrz-270x270.jpg,Junior
